,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
84,Jimmy Jimmy (feat. AJ Tracey),Meanwhile EP,Gorillaz,2021-08-26,183440,67,0.686,0.493,0.686,0.772,2.44e-05,0.141,-5.288,0.0523,125.158,4
85,FREAKY,FREAKY,Twellly,2021-08-13,163832,35,0.698,0.271,0.698,0.589,0.000541,0.205,-4.697,0.0474,83.567,4
86,Close Your Eyes - Spotify Singles,Close Your Eyes - Spotify Singles,LP Giobbi,2021-08-27,201720,58,0.677,0.432,0.677,0.808,0.285,0.141,-5.307,0.0504,124.984,4
87,Don’t Worry Bout It,Don’t Worry Bout It,Wande,2021-08-13,172725,47,0.867,0.0174,0.867,0.707,0.000232,0.142,-7.236,0.107,97.989,4
88,justified,justified,Kacey Musgraves,2021-08-27,180800,75,0.669,0.807,0.669,0.552,0.000874,0.321,-7.98,0.0587,100.102,4
89,At Your Best (You Are Love) - Spotify Singles,At Your Best (You Are Love) - Spotify Singles,Alex Isley,2021-08-25,317890,59,0.47,0.751,0.47,0.552,0.0021,0.119,-8.382,0.0351,78.152,4
90,Point and Kill,Point and Kill,Little Simz,2021-09-01,185600,58,0.944,0.421,0.944,0.573,0.0015,0.133,-9.667,0.106,98.022,4
91,Resentment,History Of A Feeling,Madi Diaz,2021-08-27,173426,38,0.554,0.883,0.554,0.122,0.0,0.107,-12.692,0.0614,166.355,4
92,Birkin,Birkin,KTOE,2021-07-30,108076,27,0.882,0.116,0.882,0.54,0.000156,0.0872,-8.337,0.182,98.603,4
93,February,American Spirit EP,John FM,2021-04-14,276733,36,0.523,0.129,0.523,0.525,4.47e-06,0.384,-9.035,0.0899,179.723,4
94,Classic (feat. Leila Dey),Classic (feat. Leila Dey),Adria Kain,2021-08-18,173444,40,0.609,0.0154,0.609,0.49,6.12e-05,0.0958,-8.051,0.112,83.172,4
95,Follow The Light,Follow The Light,Cory Wong,2021-08-20,244285,54,0.722,0.068,0.722,0.824,0.00146,0.0513,-8.506,0.0636,111.991,4
96,You Got It Made,You Got It Made,Young Roc,2021-08-27,131500,34,0.806,0.337,0.806,0.505,1.8e-06,0.126,-6.125,0.0387,115.963,4
97,The Beast,The Beast,Godford,2021-08-25,275741,50,0.69,0.00413,0.69,0.858,0.751,0.0715,-11.632,0.0458,127.975,4
98,Baby...,Baby...,María Isabel,2021-09-03,211438,47,0.527,0.292,0.527,0.403,1.27e-06,0.108,-9.358,0.251,86.215,4
99,Unlock It (feat. Playboi Carti),Unlock It (feat. Playboi Carti),ABRA,2021-08-20,143893,67,0.734,0.0506,0.734,0.87,0.0,0.133,-2.946,0.0383,155.971,4
